cost,popsize,iterations,runtime
1774.8717640030684,50,10,0.14220118522644043
1626.9648938633065,50,20,0.3242011070251465
1423.0030556924567,50,30,0.3659701347351074
1624.056455350503,50,40,0.5235464572906494
1425.1467101674223,50,50,0.6321060657501221
1643.09882484619,50,60,0.7541279792785645
1496.9873521924796,50,70,0.8734359741210938
1518.6520066775465,50,80,0.8679618835449219
1371.7433059585358,50,90,1.0859112739562988
1624.9769153876723,50,100,1.081526517868042
1376.2091338441292,50,110,1.2085273265838623
1509.2627696333032,50,120,1.3380825519561768
1657.3263146884638,50,130,1.3382389545440674
1373.4610221028156,50,140,1.4841210842132568
1537.8018203415197,50,150,1.4630229473114014
1456.3107171034426,50,160,1.629453420639038
1468.1091901338937,50,170,2.1373212337493896
1453.6719817522398,50,180,1.7971348762512207
1427.9288633202889,50,190,1.8874413967132568
1488.2408218846485,50,200,1.8763618469238281
1494.1557139005952,50,210,2.120269298553467
1610.8109980447564,50,220,2.259693145751953
1269.0250139236794,50,230,2.174741268157959
1526.9936389147638,50,240,2.3295984268188477
1464.4309600349486,50,250,2.306107997894287
1528.4274414867389,50,260,2.6995208263397217
1519.4998253027281,50,270,2.8316662311553955
1437.4821491217913,50,280,2.6227498054504395
1515.171682683107,50,290,2.6637370586395264
1608.979408519392,50,300,2.872478723526001
1298.9608209391777,50,310,3.016800880432129
1366.8770739258753,50,320,2.968071460723877
1341.9022656720977,50,330,3.1578526496887207
1361.3567449078348,50,340,3.267002820968628
1381.469489091861,50,350,3.263632297515869
1358.7539487187105,50,360,3.3790931701660156
1477.045245243573,50,370,3.7645318508148193
1454.6524511351818,50,380,3.382894277572632
1582.2200225254526,50,390,3.682379961013794
1600.2339263331914,50,400,3.764303207397461
1422.6291923713802,50,410,3.9224417209625244
1395.2012135208763,50,420,4.047831296920776
1324.8758959504955,50,430,3.9261908531188965
1526.2269393947254,50,440,4.407777786254883
1436.9100963388219,50,450,4.3652026653289795
1410.814238530114,50,460,4.25809907913208
1553.642046707569,50,470,4.523768663406372
1585.0072642413338,50,480,4.694620132446289
1562.026922916643,50,490,4.57436990737915
1415.2693743169782,50,500,4.623587131500244
1450.2932773338152,50,510,4.901972532272339
1615.6059737591322,50,520,4.725772857666016
1421.5741844734478,50,530,5.724429130554199
1461.4671756578819,50,540,5.207530498504639
1493.3452476668708,50,550,4.920795917510986
1713.836160262643,50,560,5.254809141159058
1475.414441118141,50,570,5.433146238327026
1526.8227592511405,50,580,5.1788787841796875
1607.2660222658446,50,590,5.2873375415802
1398.4646572548147,50,600,5.539156913757324
1420.0164455806619,50,610,5.655526161193848
1484.7762164440348,50,620,5.573651552200317
1471.7493848023264,50,630,5.658789157867432
1464.3077652397965,50,640,5.7027716636657715
1590.998548735757,50,650,5.921006441116333
1485.0678275279051,50,660,6.119312286376953
1400.9386477231103,50,670,6.165385961532593
1576.7503665154616,50,680,6.2240729331970215
1427.2911052453665,50,690,6.152663469314575
1406.04086746124,50,700,6.340866804122925
1463.8139418163223,50,710,6.052779197692871
1395.1217701615326,50,720,7.0726213455200195
1324.2587630129776,50,730,6.526048183441162
1413.0299336116698,50,740,6.4533586502075195
1422.8465003425388,50,750,6.771747589111328
1521.0155585100774,50,760,6.8525471687316895
1469.8509921714192,50,770,6.971758127212524
1368.048167815462,50,780,7.457075834274292
1442.2229493463728,50,790,7.4194419384002686
1538.066354115317,50,800,7.553062915802002
1418.1954313921415,50,810,7.397677183151245
1482.5156869911411,50,820,7.534193754196167
1302.9071443725054,50,830,7.8030617237091064
1467.8542126055436,50,840,7.961055278778076
1405.4010699317696,50,850,9.897127389907837
1502.120658114112,50,860,7.976103067398071
1359.1321889447438,50,870,7.802247762680054
1673.8965641719412,50,880,8.140657186508179
1406.7535340237405,50,890,8.224513292312622
1422.5899387407494,50,900,8.03018069267273
1531.4138150133717,50,910,7.8262107372283936
1384.1516218763334,50,920,8.05349612236023
1469.9207372994363,50,930,8.639007091522217
1487.743395132402,50,940,8.685727596282959
1466.0489236429862,50,950,8.799724578857422
1373.8619672509176,50,960,8.136017799377441
1655.8334623911276,50,970,8.999933004379272
1412.6543448219786,50,980,9.028432130813599
1429.9178746888624,50,990,8.633015394210815
1488.7918776333252,50,1000,8.833159923553467
1526.5904026162805,50,100,1.152724027633667
1354.4099152875865,50,100,1.3189091682434082
1341.4984536311704,50,100,1.0529754161834717
