cost,popsize,iterations,runtime
1784.21114370882,100,10,0.2952601909637451
1694.0451968101,100,20,0.5334932804107666
1607.0135825895056,100,30,0.8679313659667969
1616.158407195106,100,40,1.0370988845825195
1514.3862261650604,100,50,1.5656912326812744
1372.6469064379758,100,60,1.6543049812316895
1465.2131884946773,100,70,1.689779281616211
1587.9671573592886,100,80,2.285486936569214
1470.8395039947536,100,90,2.3191328048706055
1490.3953457152575,100,100,2.6346495151519775
1413.2129160364138,100,110,2.445974826812744
1439.7312226210665,100,120,3.0427463054656982
1372.5091930370834,100,130,3.010448932647705
1271.4263120529872,100,140,3.4224698543548584
1339.618366827551,100,150,3.6272990703582764
1474.8337330518234,100,160,3.790872573852539
1434.4610158693865,100,170,3.4564807415008545
1475.4588527823626,100,180,4.10928201675415
1349.1892849351727,100,190,4.094139337539673
1368.434670803966,100,200,4.340519189834595
1429.934109359967,100,210,4.499097108840942
1413.917213278605,100,220,4.6364617347717285
1330.2321926228483,100,230,4.519104242324829
1375.4508086301007,100,240,5.463281869888306
1406.3341982010993,100,250,5.197272777557373
1389.5090936992115,100,260,5.16017484664917
1413.1996822231663,100,270,5.730668544769287
1374.521392134421,100,280,5.76151704788208
1400.7368969659906,100,290,5.359549522399902
1259.5133332321418,100,300,6.243556022644043
1367.4671602104777,100,310,5.810574769973755
1246.8402360638165,100,320,6.475256443023682
1290.4919403664858,100,330,6.994954586029053
1528.3497615037586,100,340,8.199229001998901
1216.5084351889975,100,350,7.186219692230225
1352.9950516029758,100,360,6.9698357582092285
1328.833612583584,100,370,7.468736171722412
1282.4419588368069,100,380,7.786236763000488
1463.2893745617555,100,390,7.9393134117126465
1318.230089157998,100,400,7.78179669380188
1139.2948461625424,100,410,7.889790773391724
1256.606591827891,100,420,8.253425121307373
1447.6816053404318,100,430,7.968929052352905
1450.87525196001,100,440,8.560247659683228
1296.8916093476887,100,450,9.362777709960938
1392.9849373832635,100,460,8.780071258544922
1469.7191022159775,100,470,8.653990745544434
1462.6925714209397,100,480,9.02736234664917
1331.257801070439,100,490,9.938690423965454
1408.1199394569896,100,500,9.805984258651733
1336.7371475953832,100,510,9.804747343063354
1398.0492663849109,100,520,9.957387685775757
1381.8813620410845,100,530,9.62357783317566
1445.7113526720336,100,540,10.573890686035156
1379.9395684228584,100,550,10.652896881103516
1358.3013059559892,100,560,10.037375211715698
1324.0950455281434,100,570,11.083611488342285
1300.1767828513532,100,580,11.726856470108032
1441.1599845258143,100,590,12.626225471496582
1297.2794589261773,100,600,11.549210786819458
1423.8094868871851,100,610,11.281724214553833
1403.6245340999965,100,620,12.185510635375977
1307.2855246596068,100,630,11.895406246185303
1261.4418684643,100,640,11.76240873336792
1425.3436778479238,100,650,12.565027236938477
1356.7959519930791,100,660,12.224197626113892
1314.3647755105717,100,670,12.892608880996704
1290.3295330980895,100,680,12.67122769355774
1404.2409859404906,100,690,13.37985110282898
1477.090164508364,100,700,13.60733938217163
1426.8504367633288,100,710,13.401997327804565
1328.6492240472217,100,720,13.23827314376831
1355.7589747485392,100,730,13.86804986000061
1325.957144170065,100,740,14.211257457733154
1435.3530654952442,100,750,13.81723403930664
1316.9139810928489,100,760,13.678951263427734
